iter,ss_mse,ss_mse_db,ep_mse,ep_mse_db,mean_mu,mean_lam,time_s,lr
0,0.06156667321920395,-12.106543130504292,0.06885519623756409,-11.620632796252025,0.7297266721725464,0.978583574295044,9.44704024499515,0.00029999981556180566
1,0.04756296053528786,-13.227311207363329,0.06965061277151108,-11.570750583850346,0.9849737286567688,0.9643068313598633,9.059391399991,0.0002999992622476778
2,0.06795906275510788,-11.677526192476261,0.09266002476215363,-10.331075880687631,1.0023982524871826,0.9616758823394775,9.264823478995822,0.0002999983400589816
3,0.05241567641496658,-12.805388053300595,0.0654609426856041,-11.840177448171612,0.7907989025115967,0.9857563376426697,9.051755633001449,0.0002999970489979925
4,0.06013636291027069,-12.20862841871202,0.05342239513993263,-12.722766447090306,0.7819392681121826,0.9895783066749573,9.17683164299524,0.00029999538906789607
5,0.039204519242048264,-14.0666386743895,0.05583508312702179,-12.530928329419623,0.8626588582992554,0.9874793887138367,8.967538277996937,0.00029999336027278803
6,0.03836478665471077,-14.160672125422312,0.053774960339069366,-12.694199012398094,0.9700373411178589,0.9904544949531555,9.521828156997799,0.0002999909626176742
7,0.06215084344148636,-12.065529732181194,0.0907263457775116,-10.422665810238332,0.8903715014457703,0.9734336733818054,9.329113455998595,0.00029998819610847056
8,0.046765152364969254,-13.300776463374413,0.05900496244430542,-12.29111461714069,0.9086997509002686,0.9818190336227417,8.998278451006627,0.0002999850607520032
9,0.04405846819281578,-13.559706062896012,0.05657629668712616,-12.473654835412503,0.8397322297096252,0.9925376176834106,8.766592546002357,0.0002999815565560083
10,0.09939876943826675,-10.026189921524269,0.09390164911746979,-10.27326780505323,0.6756277680397034,0.9904052019119263,8.940290257000015,0.00029997768352913216
11,0.048918936401605606,-13.10522993980413,0.047195497900247574,-13.260994278468381,0.591421365737915,0.9919641017913818,8.858597869009827,0.000299973441680931
12,0.059992410242557526,-12.219036895803034,0.06173784285783768,-12.0944854898528,0.5119455456733704,0.9950259327888489,9.574568242009263,0.0002999688310218713
13,0.08616301417350769,-10.646791168542327,0.05933824181556702,-12.266653259105695,0.4828416407108307,0.9989071488380432,10.135666912989109,0.0002999638515633292
14,0.06356504559516907,-11.967816371474216,0.06341606378555298,-11.97800717982721,0.632723331451416,0.9833517670631409,9.008723677005037,0.0002999585033175912
15,0.032330457121133804,-14.903881548311666,0.03923603147268295,-14.06314925763036,0.8969609141349792,0.9857356548309326,9.748499188994174,0.0002999527862978534
16,0.08403896540403366,-10.755193027873919,0.07245022058486938,-11.399602879142694,0.6609423160552979,0.9855785369873047,9.415106505010044,0.00029994670051822214
17,0.10459772497415543,-9.804777613720052,0.09023553878068924,-10.446223842205335,0.7895826697349548,0.9829232692718506,9.233369914989453,0.0002999402459937134
18,0.04396871477365494,-13.568562288181607,0.0493617057800293,-13.066098409017153,0.8852510452270508,0.9794760346412659,9.248830595999607,0.0002999334227402531
19,0.07579240947961807,-11.2037428626436,0.07620000839233398,-11.18044980823412,0.9551642537117004,0.9694743156433105,9.139497573007247,0.00029992623077467693
20,0.06332095712423325,-11.984525292003052,0.04841523990035057,-13.150179118418134,0.8223345279693604,0.985755443572998,9.095203253993532,0.0002999186701147303
21,0.04975956305861473,-13.031234418548461,0.06596174836158752,-11.80707841593906,0.6734697818756104,0.9795865416526794,9.06288709299406,0.0002999107407790685
22,0.03203891962766647,-14.943221370078783,0.04902765527367592,-13.09558876193335,0.6976703405380249,0.9936739802360535,9.483969576991512,0.00029990244278725624
23,0.05768311768770218,-12.38951274668512,0.062331944704055786,-12.052893232684456,0.754158079624176,0.9873532652854919,9.200796122007887,0.0002998937761597681
24,0.03564795106649399,-14.479654269805105,1.1110560894012451,0.45735983966081606,0.9888442754745483,0.9708322882652283,8.961178333003772,0.0002998847409179881
25,0.0783601626753807,-11.059046710772355,0.07360269874334335,-11.331062613651001,0.8842157125473022,0.9823159575462341,8.948562317993492,0.00029987533708420973
26,0.05420515313744545,-12.659594242880223,0.0573224201798439,-12.416754817604394,0.6988213062286377,0.9859199523925781,9.079031606001081,0.00029986556468163616
