step,ss_mse,ss_mse_db,family,snr_db,seed
4000,239.57700551648867,23.794451323461082,time_varying,5.0,21
4000,47.31640360814384,16.750117276614382,colored,15.0,21
4000,316.2322887588149,25.00006211307321,impulsive,10.0,21
4000,28.90197028377681,14.609274501684965,colored,15.0,21
8000,50.45741168960264,17.029249687785978,impulsive,20.0,21
8000,99.22433709157211,19.966182061084677,impulsive,5.0,21
8000,76.27829242756152,18.824009623290333,impulsive,5.0,21
8000,23.098957143674117,13.63592373096866,time_varying,20.0,21
12000,39.44433741668149,15.95984665208261,gaussian,0.0,21
12000,16.152614026205097,12.082428155396208,colored,15.0,21
12000,56.61586806130288,17.529381705102573,gaussian,15.0,21
12000,21.47433224548935,13.31919668121085,time_varying,10.0,21
16000,0.46014785526355884,-3.371025978663437,time_varying,10.0,21
16000,45.9902766762725,16.626660222858753,time_varying,0.0,21
16000,6.932695790856436,8.409021436214498,colored,10.0,21
16000,14.48854941787413,11.610249064271533,impulsive,0.0,21
20000,0.06807345754156872,-11.670221904336861,impulsive,20.0,21
20000,36.82621988536151,15.661571419561252,impulsive,15.0,21
20000,0.11627272482252661,-9.345221498276695,impulsive,20.0,21
20000,15.694122867692771,11.957370483339052,time_varying,15.0,21
24000,10.884979551487111,10.368276175126924,time_varying,20.0,21
24000,0.17634427641973355,-7.536386315974612,impulsive,5.0,21
24000,52.900456040904956,17.234594159897277,time_varying,10.0,21
24000,16.22290916498718,12.101287364973432,colored,20.0,21
28000,2.8140486188317926,4.4933159654876045,colored,10.0,21
28000,0.15918304224177915,-7.981031994918855,gaussian,20.0,21
28000,0.19883602867066855,-7.015049195584052,time_varying,15.0,21
28000,13.34008301901384,11.251585323232474,gaussian,10.0,21
32000,198.10112722056124,22.96886946736312,colored,5.0,21
32000,24.639286532346986,13.916281280236216,gaussian,0.0,21
32000,0.18246554624667846,-7.388191283971722,gaussian,5.0,21
32000,0.19574105356883756,-7.083180784349873,time_varying,10.0,21
36000,8.587151556125981,9.338491279049876,colored,20.0,21
36000,17.262108535719104,12.3709384291446,colored,5.0,21
36000,10.428856835692043,10.182367056307662,gaussian,5.0,21
36000,0.09693459687282692,-10.135211914760507,impulsive,20.0,21
40000,1.6385325530311532,2.144550740136618,colored,0.0,21
40000,0.12345275721734567,-9.084992060047032,time_varying,20.0,21
40000,0.8836691655297652,-0.5371029887488902,impulsive,20.0,21
40000,0.12004517526469081,-9.206552899809127,impulsive,10.0,21
44000,0.06874683562994509,-11.62747287310748,colored,20.0,21
44000,11.947139308983008,10.772639277902359,time_varying,15.0,21
44000,0.09833926923862703,-10.072730232817404,gaussian,10.0,21
44000,0.12660391229653017,-8.975528736000529,gaussian,5.0,21
48000,0.37233597235829496,-4.290650034204785,time_varying,20.0,21
48000,6.279459562609873,7.979222680882064,gaussian,0.0,21
48000,0.10432576748073646,-9.816084116787305,colored,10.0,21
48000,0.08215311711600598,-10.853759535797122,gaussian,5.0,21
52000,25.8324398877615,14.121654274566637,colored,0.0,21
52000,0.16262008496744595,-7.888258163540445,gaussian,5.0,21
52000,0.1717441396531939,-7.651180732452274,gaussian,0.0,21
52000,1.8689381728801469,2.715949345405857,gaussian,5.0,21
56000,0.3708528269550235,-4.307984060772315,impulsive,20.0,21
56000,3.8194623153940714,5.820022294319768,gaussian,0.0,21
56000,0.1163518689125371,-9.342266364226521,colored,10.0,21
56000,0.8167511112720766,-0.8791026595024559,impulsive,5.0,21
60000,0.0820194737834779,-10.860830213595635,colored,10.0,21
60000,0.08617981245710331,-10.645944553451155,time_varying,5.0,21
60000,0.9873083503129327,-0.055471898573027235,time_varying,15.0,21
60000,0.047207971604864736,-13.259846595836812,time_varying,15.0,21
64000,0.20291070440507178,-6.926950414739821,impulsive,10.0,21
64000,8.01961363797917,9.041534457236768,colored,5.0,21
64000,8.616906857303647,9.353513985534128,colored,10.0,21
64000,0.05773562643468289,-12.385561176979236,time_varying,10.0,21
68000,0.04174131053465986,-13.794339196819088,gaussian,20.0,21
68000,0.26061584956445266,-5.839991758471362,time_varying,20.0,21
68000,0.08375069934824654,-10.770115577567818,gaussian,15.0,21
68000,0.6405830042230131,-1.9342458810373555,impulsive,20.0,21
72000,0.056201987479139265,-12.5024832613209,time_varying,15.0,21
72000,42.809311269734145,16.315382408182003,gaussian,15.0,21
72000,19.4897499059332,12.898062662510434,time_varying,10.0,21
72000,0.07391363528131993,-11.31275437361207,gaussian,20.0,21
76000,0.09998263752485886,-10.000754108138977,impulsive,5.0,21
