step,ss_mse,ss_mse_db,family,snr_db,seed
4000,105.63771996494766,20.238190190274334,time_varying,15.0,42
4000,33.43150315922266,15.24155903935674,impulsive,10.0,42
4000,13.610446461304713,11.338723715296577,gaussian,20.0,42
4000,13.712004108341711,11.371009347009359,impulsive,15.0,42
8000,20.086572545246664,13.029058376106061,time_varying,0.0,42
8000,106.9073918955057,20.290077346610076,time_varying,5.0,42
8000,231.36728390234097,23.64301948283865,colored,5.0,42
8000,16.29977015692806,12.121814804603266,time_varying,10.0,42
12000,11.794109930275098,10.716651714229481,time_varying,15.0,42
12000,0.237291144555279,-6.247184688711725,impulsive,10.0,42
12000,67.44202234391356,18.289305847429322,colored,5.0,42
12000,4.703661766525081,6.724360847065558,impulsive,20.0,42
16000,22.260584494450676,13.475365633851437,colored,15.0,42
16000,8.482359465439119,9.285166730457771,impulsive,0.0,42
16000,0.3850725937139799,-4.144573897696367,time_varying,15.0,42
16000,2.4981647328308507,3.9762107302970833,gaussian,20.0,42
20000,11.143613068866689,10.470260240033976,time_varying,10.0,42
20000,0.09120538631848285,-10.399795127707804,gaussian,10.0,42
20000,2.320502606446905,3.6558206056599762,gaussian,5.0,42
20000,18.428875298265176,12.654988313307708,impulsive,5.0,42
24000,6.583167424493832,8.184349003008933,colored,15.0,42
24000,5.43461880211997,7.351690869795604,time_varying,0.0,42
24000,0.11334273064835983,-9.456063285600294,time_varying,15.0,42
24000,0.21384830099439897,-6.698941958221997,impulsive,5.0,42
28000,13.071315270729778,11.163192896525443,gaussian,20.0,42
28000,0.12495845210280386,-9.03234363163799,impulsive,0.0,42
28000,0.11545933001021072,-9.375709669593205,colored,10.0,42
28000,0.6868794179719158,-1.6311949686378926,gaussian,0.0,42
32000,74.52288748088546,18.722896738237896,time_varying,5.0,42
32000,0.12708336570256829,-8.959112917428191,gaussian,15.0,42
32000,0.1805320076066653,-7.434457882456183,time_varying,10.0,42
32000,6.533441111028496,8.151419809540544,time_varying,10.0,42
36000,13.01355878872423,11.143960783414197,colored,0.0,42
36000,0.07043082793933118,-11.522372062860198,gaussian,20.0,42
36000,4.343082003941272,6.37798029574847,colored,15.0,42
36000,0.08135867646377765,-10.895961250892336,gaussian,15.0,42
40000,12.228472110064171,10.873721973780754,impulsive,20.0,42
40000,0.16018217846219945,-7.9538580426696415,colored,10.0,42
40000,0.10245502665511864,-9.894667293519866,gaussian,15.0,42
40000,2.5575686203270847,4.078272947908602,colored,0.0,42
44000,0.6334248513754251,-1.9830490180413336,gaussian,20.0,42
44000,0.17922631731255234,-7.465982188654624,impulsive,0.0,42
