step,ss_mse,ss_mse_db,family,snr_db,seed
88000,9.864149620613516,9.940596510688646,impulsive,20.0,7
88000,0.11316562495621707,-9.4628547384171,gaussian,0.0,7
92000,24.768535797499695,13.939003338421523,time_varying,20.0,7
92000,0.3606883982628133,-4.428678267724039,colored,0.0,7
92000,52.41608248120101,17.19464559144464,gaussian,5.0,7
92000,0.29699119019320114,-5.272564331972375,time_varying,5.0,7
96000,0.007064646847260104,-21.509095430419293,time_varying,15.0,7
96000,3.9337042754955496,5.948017078081664,impulsive,0.0,7
96000,0.34628819705757574,-4.605623107597702,gaussian,0.0,7
96000,0.00949350730265377,-20.225733111532385,time_varying,20.0,7
100000,0.1662735988620637,-7.791767031456155,time_varying,5.0,7
100000,0.059162129874535105,-12.279561995070981,impulsive,20.0,7
100000,0.059404815021230475,-12.261783521091317,time_varying,5.0,7
100000,0.015408398441230058,-18.122424997532548,impulsive,20.0,7
104000,0.013969510068906862,-18.54818824928557,gaussian,20.0,7
104000,0.3837972775381834,-4.158981102516764,impulsive,0.0,7
104000,7.231620727927966,8.592356409066204,gaussian,5.0,7
104000,0.012232615300814202,-19.124806819889795,impulsive,15.0,7
108000,0.0043413071109165,-23.6237949029747,time_varying,15.0,7
108000,0.017362260761367397,-17.603937254328464,time_varying,20.0,7
108000,0.09514365213919482,-10.216201819691797,impulsive,15.0,7
108000,0.19863622635884412,-7.019415439904621,time_varying,0.0,7
112000,0.029411539443859405,-15.314822432620474,time_varying,0.0,7
112000,0.7229226308176414,-1.4090817961626554,time_varying,15.0,7
112000,0.13556565687239475,-8.678503172495166,gaussian,20.0,7
112000,38.828059361356694,15.891456849134107,colored,0.0,7
116000,0.025820133056859696,-15.880415240314365,time_varying,10.0,7
116000,0.07274616801658973,-11.381898786670963,gaussian,15.0,7
116000,0.18852121371711583,-7.246397728728119,time_varying,10.0,7
116000,0.05854446080347759,-12.325141895045322,time_varying,0.0,7
120000,0.03502428119508776,-14.556307689836867,impulsive,5.0,7
120000,0.07679429376111263,-11.146710492353645,colored,0.0,7
120000,0.03133730594794862,-15.03938342321697,gaussian,5.0,7
120000,0.016188040932436962,-17.90805706112487,gaussian,20.0,7
124000,0.007917343333291665,-21.014205215431417,time_varying,0.0,7
124000,0.10276634438677401,-9.881490919538825,time_varying,20.0,7
124000,0.014251352512014578,-18.46143917335105,time_varying,5.0,7
124000,0.01451707679197234,-18.381208258185467,gaussian,15.0,7
128000,0.07474900770126834,-11.263945682515555,colored,0.0,7
128000,0.5135788140089502,-2.893928999476673,colored,0.0,7
128000,1.0304804523207207,0.1303975785290234,impulsive,0.0,7
128000,0.12288342115569631,-9.1050670609518,time_varying,15.0,7
132000,0.006397917783404347,-21.9396134505981,colored,15.0,7
132000,0.012616775221179835,-18.99051634170953,colored,20.0,7
132000,0.1131779107538201,-9.462383273297213,impulsive,0.0,7
132000,9.657113604583344,9.848473403991559,gaussian,0.0,7
136000,7.333081423589216,8.652865072538411,gaussian,0.0,7
136000,0.0963624373456459,-10.160922236922524,time_varying,10.0,7
136000,0.011259018540296588,-19.484994656726407,colored,15.0,7
136000,5.01052203358941,6.998829762658035,time_varying,20.0,7
140000,0.07577572094252365,-11.20469922986673,impulsive,5.0,7
140000,3.3412452119714198,5.239083494180326,gaussian,10.0,7
140000,0.04639984812737217,-13.334834409347282,time_varying,5.0,7
140000,0.02342613092651527,-16.302994337924346,colored,15.0,7
144000,0.25536343339513395,-5.928412911416647,impulsive,0.0,7
144000,0.004213729646829553,-23.753333320934374,gaussian,15.0,7
144000,5.484207005766651,7.391138392184762,gaussian,0.0,7
144000,0.002243837133836993,-26.49008668810033,impulsive,20.0,7
148000,0.5125942363991923,-2.9022628132318475,colored,0.0,7
148000,0.01678917370051935,-17.74970677638079,time_varying,20.0,7
148000,0.07850316129649959,-11.051128540010462,gaussian,5.0,7
148000,0.22723836539753808,-6.435183434088094,colored,10.0,7
152000,0.10361173094411733,-9.845910708812262,colored,0.0,7
152000,0.4967098201464362,-3.0389725374811465,colored,0.0,7
152000,0.0338569976897193,-14.703515560960644,gaussian,10.0,7
152000,0.014388527967810979,-18.41983634675159,impulsive,20.0,7
156000,0.01000620554501084,-19.99730580147251,gaussian,20.0,7
156000,0.689758102567699,-1.6130318917395718,time_varying,10.0,7
156000,0.048352869308786565,-13.15577749327965,gaussian,5.0,7
156000,0.039372605272476435,-14.048058471234155,gaussian,20.0,7
160000,1.0090920078826495,0.039307665287031765,colored,10.0,7
160000,0.020121408614668594,-16.963416194114224,colored,10.0,7
160000,0.9965269957490777,-0.015109318390680072,time_varying,20.0,7
160000,0.00456078767404828,-23.409601456282346,colored,15.0,7
164000,0.7110327324742564,-1.4811040601260927,gaussian,0.0,7
164000,0.004657164409182481,-23.318784300563905,time_varying,10.0,7
164000,0.005461500136692223,-22.6268805106119,gaussian,10.0,7
164000,0.029852040890240534,-15.250259721558914,time_varying,15.0,7
168000,0.009185265413933295,-20.369082899215314,time_varying,10.0,7
168000,0.14911157714897233,-8.26488636244127,colored,0.0,7
168000,0.02245322483726205,-16.487212747549968,impulsive,15.0,7
168000,0.048102564491626594,-13.178317694617705,gaussian,15.0,7
172000,0.10812653539911679,-9.660677124883888,impulsive,15.0,7
