method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
LMS,burst,20.0,1,0.006861079363614616,-21.63607557001408,0.02128431002165969,203,5.745319998823106
LMS,burst,20.0,2,0.00353715541088721,-24.51345858182912,0.020496232334782555,203,5.565090003074147
LMS,burst,20.0,3,0.0028759848842961028,-25.41213400712572,0.021175118807275548,204,5.564145001699217
LMS,burst,20.0,4,0.013065693288606349,-18.83867540864936,0.019910900026019945,204,5.623660996207036
LMS,chirp_interferer,0.0,0,0.06539783996085137,-11.844365958369053,0.11671635696845918,2000,5.596779999905266
LMS,chirp_interferer,0.0,1,0.03979543641719742,-14.001667282285892,0.08989244598629634,1185,5.877695002709515
LMS,chirp_interferer,0.0,2,0.06629998300357139,-11.78486582922856,0.1375183931901339,1892,5.623703997116536
LMS,chirp_interferer,0.0,3,0.10113975657060517,-9.950780959846275,0.16505489018155653,2000,6.058634004148189
LMS,chirp_interferer,0.0,4,0.035526088627812515,-14.494526050755878,0.09317701980245997,1649,6.106948996603023
LMS,chirp_interferer,5.0,0,0.04065839911104578,-13.908497253165743,0.08490902344667518,1792,5.434271995909512
LMS,chirp_interferer,5.0,1,0.0202969088911965,-16.925700977163835,0.06420827134931636,1107,5.589984997641295
LMS,chirp_interferer,5.0,2,0.04422940637810168,-13.542888894346136,0.09175073032771226,1841,5.576016003033146
LMS,chirp_interferer,5.0,3,0.06569362073905086,-11.82476801093271,0.10223202124995251,1953,5.765305999375414
LMS,chirp_interferer,5.0,4,0.020460337870489717,-16.89087198849078,0.07464184917805158,1315,5.471969998325221
LMS,chirp_interferer,15.0,0,0.022487751736299414,-16.480539619450877,0.036093996860718625,295,5.635328001517337
LMS,chirp_interferer,15.0,1,0.010811378769348892,-19.661189171317172,0.0310824794621554,292,5.673416999343317
LMS,chirp_interferer,15.0,2,0.022315091700853693,-16.514013241258397,0.0344977829114954,293,5.5790399928810075
LMS,chirp_interferer,15.0,3,0.027808671380457426,-15.558197599846489,0.03626850298099283,263,5.574267001065891
LMS,chirp_interferer,15.0,4,0.013843854116164149,-18.587429858330115,0.03493850048373038,249,5.559674005780835
LMS,chirp_interferer,20.0,0,0.012250368127782765,-19.11850860369099,0.024480763226474828,242,5.603773002803791
LMS,chirp_interferer,20.0,1,0.005945606109596591,-22.258038656760945,0.022415360591298013,202,5.44032700418029
LMS,chirp_interferer,20.0,2,0.011768327485376052,-19.292852546629966,0.023667630041707816,248,5.553962997510098
LMS,chirp_interferer,20.0,3,0.013418645056162817,-18.72291334681591,0.024691052669381954,248,5.50522100093076
LMS,chirp_interferer,20.0,4,0.007387082377559472,-21.315270578283,0.0240504087651187,240,5.484597997565288
NLMS,gaussian,0.0,0,0.19494546451929284,-7.100868643832677,0.18888973516877633,2000,7.136782995075919
NLMS,gaussian,0.0,1,0.24464286683188208,-6.114674426478842,0.21450400268182301,2000,7.001366997428704
NLMS,gaussian,0.0,2,0.20461802654065298,-6.8905610824505334,0.23827049548016202,2000,7.130635000066832
NLMS,gaussian,0.0,3,0.22375658763970815,-6.502241697153231,0.20482987559983787,2000,6.999107004958205
NLMS,gaussian,0.0,4,0.188073734833501,-7.2567185098288345,0.2018333210240978,2000,7.034962000034284
NLMS,gaussian,5.0,0,0.08138166510848245,-10.894734285099887,0.07900622800620223,2000,6.951979994482826
NLMS,gaussian,5.0,1,0.10652929779732163,-9.725309356776727,0.08995241332977284,2000,7.081716001266614
NLMS,gaussian,5.0,2,0.09142456589471712,-10.389370931123377,0.09500162687671529,2000,7.1718580002198
NLMS,gaussian,5.0,3,0.09260419729458831,-10.333693284260399,0.08618854791794626,2000,7.191618002252653
NLMS,gaussian,5.0,4,0.07854378232813969,-11.048881888165283,0.08887177051112612,2000,6.9070509998709895
NLMS,gaussian,15.0,0,0.014468928072862909,-18.395636422638447,0.013434727765165294,100,7.029394000710454
NLMS,gaussian,15.0,1,0.016909058364123198,-17.71880576803057,0.01486688201877024,100,7.0792390033602715
NLMS,gaussian,15.0,2,0.01607958640710528,-17.937251261713783,0.015433294095569476,100,7.056839996948838
NLMS,gaussian,15.0,3,0.014344932245154764,-18.43301498668635,0.014867357890702156,100,7.095941000443418
NLMS,gaussian,15.0,4,0.013087425121487648,-18.83145790049182,0.015388743463831404,100,7.098806003341451
NLMS,gaussian,20.0,0,0.005615072400783074,-22.50644639492969,0.00564408673015191,100,6.954138996661641
NLMS,gaussian,20.0,1,0.00607672447767354,-22.16330454306682,0.006051863867205245,100,7.116242995834909
NLMS,gaussian,20.0,2,0.005964134538703272,-22.24452568238545,0.006299398165699361,100,7.106819997716229
NLMS,gaussian,20.0,3,0.00553871913524258,-22.565906570003918,0.005655997745662662,100,7.12480799847981
NLMS,gaussian,20.0,4,0.0050687595600572575,-22.950983092466444,0.006414335470484413,100,7.099665002897382
NLMS,colored,0.0,0,0.19578157545299643,-7.082281810474813,0.2094404756953312,2000,7.0919069985393435
NLMS,colored,0.0,1,0.21502618970169257,-6.67508640778964,0.20228225870788083,2000,7.322243000089657
NLMS,colored,0.0,2,0.18365352762819537,-7.36000725281225,0.2110863340546745,2000,7.179827000072692
NLMS,colored,0.0,3,0.1768027293421121,-7.525110349705498,0.19324258429202337,2000,7.329135994950775
