method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
LMS,gaussian,10.0,0,0.036381601369456416,-14.391181889710873,0.04478557765940992,580,4.989107001165394
LMS,gaussian,10.0,1,0.03899884317298828,-14.089482752966996,0.046943124937559956,302,5.292867997923167
LMS,gaussian,10.0,2,0.03172832392020126,-14.985528693114851,0.04662108386050939,569,5.315425998560386
LMS,gaussian,10.0,3,0.0370178202338924,-14.31589157917777,0.04532330260958953,466,5.575794999458594
LMS,gaussian,10.0,4,0.030382840138733488,-15.173716314159089,0.045352478674689264,730,5.496904002939118
LMS,colored,10.0,0,0.053402244918816046,-12.724404857468075,0.056285042994768275,580,5.497793001268292
LMS,colored,10.0,1,0.046259662192848425,-13.347975429420366,0.059274502961600334,410,14.592078001442133
LMS,colored,10.0,2,0.04092487092343701,-13.88012681662952,0.05905375559877792,606,4.3918900009884965
LMS,colored,10.0,3,0.05645160120686623,-12.483237351229214,0.057713204259614306,505,4.970210000465158
LMS,colored,10.0,4,0.04897924755110346,-13.099878910463293,0.0591089601539191,740,5.5998829993768595
LMS,impulsive,10.0,0,0.029767205917013952,-15.262619282466865,0.04505561886485257,562,10.785944999952335
LMS,impulsive,10.0,1,0.03810836644616464,-14.189796672915318,0.048292272307471566,362,14.698066999699222
LMS,impulsive,10.0,2,0.05156790218138321,-12.87620535631219,0.047254765963353575,292,14.77739400070277
LMS,impulsive,10.0,3,0.03394913249306402,-14.691713188166041,0.04582925385435603,310,13.274643999466207
LMS,impulsive,10.0,4,0.052629445524922595,-12.787712054396989,0.04583020778353081,309,11.119612001493806
LMS,time_varying,10.0,0,0.05060791254100774,-12.957815759530966,0.049261424466145814,202,11.324566003168002
LMS,time_varying,10.0,1,0.051484368245929064,-12.883246120191345,0.052007662818907716,305,11.468387998320395
LMS,time_varying,10.0,2,0.04807743352383613,-13.180587239452315,0.07763200066690469,1200,4.9044719999074005
LMS,time_varying,10.0,3,0.17836051741242678,-7.487012764577175,0.10610338767370746,628,11.059756001486676
LMS,time_varying,10.0,4,0.02415925264018582,-16.169165046050963,0.09399723593614344,241,14.10754700191319
