method,family,snr_db,seed,ss_mse,ss_mse_db,ep_mse,conv_time,inference_time_ms
Meta-RL-s42,impulsive,10.0,4,0.08046981372214554,-10.943670040055125,0.09383571731075764,2000,1685.1557180052623
Meta-RL-s42,time_varying,10.0,0,0.02177227739929694,-16.620961409794926,0.03272983347901569,100,1841.4691439975286
Meta-RL-s42,time_varying,10.0,1,0.0730325916307479,-11.364832877277582,0.07754413250825107,2000,2259.5437489944743
Meta-RL-s42,time_varying,10.0,2,0.025232682896719504,-15.980365701035543,0.03841960513486207,102,2270.411190998857
Meta-RL-s42,time_varying,10.0,3,0.11139133237932654,-9.531486013153067,0.08204630475701709,2000,2260.0764200033154
Meta-RL-s42,time_varying,10.0,4,0.1567078087669816,-8.049093620486472,0.12021761203960227,2000,2269.4507190026343
Meta-RL-s42,regime_switch,10.0,0,0.03381274081562824,-14.709196244636516,0.03697119894689651,736,2299.468021999928
Meta-RL-s42,regime_switch,10.0,1,0.007691550318828211,-21.139861143615292,0.01972729806626328,102,2349.8633220006013
Meta-RL-s42,regime_switch,10.0,2,0.12243610587491921,-9.120904917461699,0.16089778702359261,2000,2266.8090340011986
Meta-RL-s42,regime_switch,10.0,3,0.1547931388231506,-8.102482932451718,0.12248219623319409,737,2304.0506649995223
Meta-RL-s42,regime_switch,10.0,4,0.038190913891662855,-14.180399490162689,0.07221313568801603,1532,2152.3111169954063
Meta-RL-s42,alpha_stable,10.0,0,0.03852360148374265,-14.142731184365013,0.04180715674728805,108,2169.683467000141
Meta-RL-s42,alpha_stable,10.0,1,0.024527394966586236,-16.10348575368023,0.03696578629401377,181,2243.014391999168
Meta-RL-s42,alpha_stable,10.0,2,0.03249821258802022,-14.881405246848905,0.037237917598480226,187,2201.1756979991333
Meta-RL-s42,alpha_stable,10.0,3,0.05515796636961316,-12.583917542855653,0.044330197772528813,118,2211.0625179993804
Meta-RL-s42,alpha_stable,10.0,4,0.06747042185414776,-11.708865744335583,0.09026263462926579,2000,2191.716756002279
Meta-RL-s42,burst,10.0,0,0.0752346300904043,-11.235822099969592,0.031772628674894624,249,2181.5578440000536
Meta-RL-s42,burst,10.0,1,0.03292081306245397,-14.825294473172708,0.033565879096735515,100,2185.570376001124
Meta-RL-s42,burst,10.0,2,0.01360437016544608,-18.663215596959613,0.02958292633507404,100,2228.7544169957982
Meta-RL-s42,burst,10.0,3,0.043866270645017434,-13.57869286194591,0.028879853029044562,100,2230.5806600052165
Meta-RL-s42,burst,10.0,4,0.04617597794314269,-13.355838980263828,0.08675839439805755,2000,2204.3388029997004
Meta-RL-s42,chirp_interferer,10.0,0,0.030886002855803667,-15.102382927201658,0.03722557416259709,138,2200.199409999186
Meta-RL-s42,chirp_interferer,10.0,1,0.013421095284615877,-18.722120402706963,0.029062957194899514,102,2405.7677909950144
Meta-RL-s42,chirp_interferer,10.0,2,0.05315620598523367,-12.744460243065141,0.036471382017545455,137,2260.880278998229
Meta-RL-s42,chirp_interferer,10.0,3,0.02979991927471852,-15.257849123719826,0.03358933475215089,171,2267.755257002136
Meta-RL-s42,chirp_interferer,10.0,4,0.08097155284817652,-10.916675318691603,0.07972754652786193,221,2299.4885709995287
PPO-NLMS-s142,gaussian,10.0,0,0.04064855508504253,-13.909548874453488,0.03957858470350037,150,1375.0295670033665
PPO-NLMS-s142,gaussian,10.0,1,0.03882507241055174,-14.108877256082122,0.0372295389827541,297,1312.0312800019747
PPO-NLMS-s142,gaussian,10.0,2,0.033219412489255466,-14.786080526340637,0.03474772762695349,167,1384.0268469939474
PPO-NLMS-s142,gaussian,10.0,3,0.043353494657868655,-13.629758889630658,0.04177769988054263,164,1080.8729130003485
PPO-NLMS-s142,gaussian,10.0,4,0.039024766734325256,-14.086596841877444,0.04630388179691309,1813,1382.090443999914
PPO-NLMS-s142,colored,10.0,0,0.03144909361858987,-15.023918666474236,0.03098869238607695,103,1333.7500159977935
PPO-NLMS-s142,colored,10.0,1,0.021071091206519506,-16.76312973023458,0.02261252129030616,102,1345.5157060016063
PPO-NLMS-s142,colored,10.0,2,0.02571277978636657,-15.898509696016118,0.0271997539860389,100,1361.2190120038576
PPO-NLMS-s142,colored,10.0,3,0.046129705812310816,-13.360193150440889,0.040615322365034505,107,1301.8208369976492
PPO-NLMS-s142,colored,10.0,4,0.02824718218260335,-15.490248690179463,0.03287713230952696,124,1298.7983229977544
PPO-NLMS-s142,impulsive,10.0,0,0.035089794040565794,-14.548191808548125,0.042112039840778256,103,1468.8919159962097
PPO-NLMS-s142,impulsive,10.0,1,0.03898653991804933,-14.090853070214111,0.03646038550479916,114,1127.855176004232
PPO-NLMS-s142,impulsive,10.0,2,0.04284321039685887,-13.681179933529016,0.03426488280430829,102,811.7186439994839
PPO-NLMS-s142,impulsive,10.0,3,0.04203863183548174,-13.763514266955372,0.04925662025282399,285,1248.698504998174
PPO-NLMS-s142,impulsive,10.0,4,0.03910865897682064,-14.077270755977956,0.04241344024111732,536,1408.9679940007045
PPO-NLMS-s142,time_varying,10.0,0,0.019997110540308564,-16.990327526671148,0.029637017347332834,102,1483.6714810007834
PPO-NLMS-s142,time_varying,10.0,1,0.06559431000659403,-11.831338319578816,0.06598972926068564,2000,1429.1950599945267
PPO-NLMS-s142,time_varying,10.0,2,0.026165837128727082,-15.822653662174439,0.03485895781690828,102,1358.4723899984965
PPO-NLMS-s142,time_varying,10.0,3,0.09342516832109561,-10.295361110186892,0.07133638733634362,284,1364.168428000994
PPO-NLMS-s142,time_varying,10.0,4,0.12746204025687455,-8.946191341407523,0.08221987162416652,577,1369.0174180010217
PPO-NLMS-s142,regime_switch,10.0,0,0.03362182725973206,-14.733786874554918,0.03573472099540564,664,1421.0880309983622
PPO-NLMS-s142,regime_switch,10.0,1,0.010244629023901879,-19.89503763505351,0.0163568284841135,102,1375.1038179980242
PPO-NLMS-s142,regime_switch,10.0,2,0.09985160744911539,-10.006449392950731,0.1382426467814677,2000,1441.104035002354
PPO-NLMS-s142,regime_switch,10.0,3,0.12108966151742394,-9.168929347856613,0.10277968793372613,167,1354.6088799994322
PPO-NLMS-s142,regime_switch,10.0,4,0.015586974537194376,-18.07238174027221,0.02754098396110853,102,1388.2187859999249
