step,ss_mse,ss_mse_db,family
16000,0.6477987260096206,-1.8855991042757316,regime_switch
16000,12.94830822637721,11.122130289620758,gaussian
16000,1.4758689161685816,1.6904778600172206,impulsive
16000,0.3030250815659552,-5.185214231963337,regime_switch
16000,2.305966362249831,3.6285296783491723,colored
16000,0.8132164613359286,-0.8979383884433383,alpha_stable
16000,3.0969407260084916,4.909328932439857,regime_switch
16000,6.933844714154499,8.40974111254536,regime_switch
32000,0.5037679154402739,-2.977694958107655,regime_switch
32000,0.6591856795309652,-1.8099223603151233,alpha_stable
32000,1.089733448895747,0.373202815829093,chirp_interferer
32000,0.5104064010895671,-2.9208388769426197,regime_switch
32000,0.46106340228604364,-3.3623934929563233,time_varying
32000,1.0338267264203873,0.14447755329539017,colored
32000,0.9386269765920917,-0.27506968110781743,time_varying
32000,0.5271216021402871,-2.7808918545736545,time_varying
48000,0.9168218148946767,-0.37715061633119173,impulsive
48000,0.32524273293525036,-4.877923983203943,time_varying
48000,0.5439494604320855,-2.6444144970377814,time_varying
48000,1.0721056941490312,0.30237602636039707,time_varying
48000,0.5814466611328761,-2.354901190055303,time_varying
48000,0.8300508508320897,-0.8089530092545434,impulsive
48000,0.6216705771807115,-2.064396867093841,impulsive
48000,0.787787284587438,-1.0359103327255177,gaussian
64000,0.8153028205104281,-0.8868105524688743,impulsive
64000,0.6896573083454919,-1.6136665718256984,chirp_interferer
64000,0.6100900398833091,-2.146060650888988,impulsive
64000,0.785487651371144,-1.0486063810089146,impulsive
64000,1.1064666018598768,0.43938309500120615,time_varying
64000,0.946403094602832,-0.23923848296471553,regime_switch
64000,0.5005303402877285,-3.0056959206956324,regime_switch
64000,0.6260440268688531,-2.0339512373161037,regime_switch
80000,0.22743140364646566,-6.43149568279912,gaussian
80000,0.5429563739562218,-2.6523506416952203,time_varying
80000,0.7297229262753453,-1.3684200896331702,time_varying
80000,0.583236858012817,-2.341550383145494,time_varying
80000,0.43543685126023296,-3.6107481915767323,chirp_interferer
80000,0.7530574526457894,-1.2317188911716679,regime_switch
80000,0.8132420628192236,-0.8978016670605383,chirp_interferer
80000,0.9647123939024664,-0.15602141949136822,burst
96000,0.8392718572242727,-0.7609733956613646,gaussian
96000,0.6702552963935967,-1.7375974551239475,burst
96000,0.46029564835387443,-3.3696313091614694,gaussian
96000,1.2679095943105048,1.0308828817395868,burst
96000,1.0303652463032054,0.12991201730748753,alpha_stable
96000,0.6851127669387951,-1.6423793941414153,regime_switch
96000,0.7384408022036328,-1.3168431457863332,regime_switch
96000,0.543970445518905,-2.644246953317711,colored
112000,0.7463820520437384,-1.2703881244436572,impulsive
112000,1.2919659598229518,1.112510712013461,alpha_stable
112000,0.49227458525521905,-3.077925850436067,regime_switch
112000,0.40275959668246647,-3.9495410271006017,impulsive
112000,0.7741752917149975,-1.1116069357329694,chirp_interferer
112000,0.4239061126809935,-3.7273032090543072,regime_switch
112000,0.5352058034150445,-2.714791860139636,chirp_interferer
112000,0.5649906925053398,-2.479587065636265,chirp_interferer
128000,0.3478018065569037,-4.586681665078574,impulsive
128000,0.7637404158441234,-1.1705422666322642,impulsive
128000,0.4226845800317617,-3.739835953903671,impulsive
128000,0.43705526485765805,-3.5946364379470754,regime_switch
128000,0.2444239433362834,-6.118562536261423,regime_switch
128000,0.6575827611865964,-1.8204958053375173,colored
128000,0.4693589996693599,-3.2849485038850705,alpha_stable
128000,0.38906151901589875,-4.09981721920658,burst
144000,0.6446484031729007,-1.9067708876763956,time_varying
144000,0.3168457168473625,-4.991521593346833,time_varying
144000,1.3667758302596809,1.3569729023411026,regime_switch
144000,0.7533723441163483,-1.2299032655069644,colored
144000,0.4483972364121537,-3.483370727367795,regime_switch
144000,1.4333990941936001,1.5636712569065065,chirp_interferer
144000,0.3782267387081549,-4.222477719918833,burst
144000,0.14056454256737683,-8.521242163640556,gaussian
160000,0.7805806275511233,-1.0758223124028659,chirp_interferer
160000,0.750929741821528,-1.2440069437552568,impulsive
160000,0.2874842780733349,-5.413859009996065,chirp_interferer
160000,0.22619522476754872,-6.455165677507918,alpha_stable
160000,0.25349907863468873,-5.960236148086073,chirp_interferer
160000,0.5852045842020916,-2.3269228048536528,burst
160000,0.576462216869177,-2.3922915244999,alpha_stable
160000,0.3895256498284696,-4.09463939242693,time_varying
176000,1.0473713818728712,0.2010070316861973,chirp_interferer
176000,0.4738285734561734,-3.243787534051265,regime_switch
176000,0.6501965831890043,-1.869553170693997,burst
176000,0.7014528249076916,-1.5400153143642386,regime_switch
176000,1.2525990569113656,0.9781208038308421,chirp_interferer
176000,0.5219495928743366,-2.8237143683133965,regime_switch
176000,0.7029348827765943,-1.5308490451105163,alpha_stable
176000,0.5540200406620359,-2.5647452517779628,time_varying
192000,0.35718359737427746,-4.471084930448796,regime_switch
192000,0.6882921339653744,-1.622271936810751,alpha_stable
192000,0.6832343794253943,-1.654302886605047,burst
192000,0.5013935667003611,-2.99821242703338,regime_switch
192000,0.5632961518794672,-2.492632156078716,burst
192000,0.4057414271405723,-3.9175064755704025,regime_switch
192000,1.0843038465192312,0.3515099841677918,gaussian
192000,0.3511609866227735,-4.544937394492096,burst
208000,1.6963955850191759,2.295271335095121,gaussian
208000,0.5824856642476415,-2.3471475873854883,colored
208000,0.37431018983294184,-4.267683499403049,burst
208000,0.3839603943332378,-4.157135709688818,impulsive
208000,1.1913917052409069,0.7605457210980527,burst
208000,0.6119286536857909,-2.1329921039755746,regime_switch
208000,0.6624946644672811,-1.7881761505351603,impulsive
208000,0.49008523114545915,-3.0972838487410814,regime_switch
224000,0.6457378182351602,-1.8994377798889563,colored
224000,0.9418783761315948,-0.2600517362397037,impulsive
224000,1.0924078272305522,0.3838480325027848,gaussian
224000,0.42887168584273144,-3.676726249843645,gaussian
224000,0.6289670866954257,-2.0137208021469144,colored
224000,1.085572285369817,0.35658747267594326,chirp_interferer
224000,0.5746217883693914,-2.406179105584315,chirp_interferer
224000,0.6256738669072885,-2.0365198421784974,colored
240000,0.5576639146574288,-2.5362745694604416,alpha_stable
240000,0.5047668816553313,-2.9690914739653147,chirp_interferer
240000,0.7860557555309479,-1.0454664803047737,alpha_stable
240000,0.5459865107678662,-2.628180869125045,chirp_interferer
240000,0.6818679518810459,-1.662997211228423,colored
240000,0.42985317408499907,-3.6667986203275134,chirp_interferer
240000,0.2531302736734683,-5.966559113272312,chirp_interferer
240000,0.4659936837454492,-3.3161996986075937,alpha_stable
256000,0.41100178259466114,-3.861562944991614,regime_switch
256000,0.3187198322876459,-4.965909117834247,regime_switch
256000,0.5935898256010033,-2.2651355166901515,alpha_stable
256000,0.5315409816831782,-2.7446324584780646,regime_switch
256000,0.5544829551333708,-2.5611179956867702,alpha_stable
256000,0.5255163329722895,-2.7941378161491714,alpha_stable
256000,0.43746667077912865,-3.590550289220182,impulsive
256000,0.24235465626173436,-6.155486319355031,regime_switch
272000,0.27260080930056596,-5.6447285915914955,alpha_stable
272000,0.3321073559948201,-4.787215049104578,impulsive
272000,0.373200749902333,-4.280574922606066,regime_switch
272000,0.3259962482887785,-4.8678739795789685,chirp_interferer
272000,0.24983031878734174,-6.023548578615305,burst
272000,0.7411188009439185,-1.301121692685678,time_varying
272000,0.6556937850644047,-1.8329893273518016,time_varying
272000,0.2655879933444983,-5.757915623675021,burst
288000,0.22261121030308897,-6.524529691539705,alpha_stable
288000,0.6091912068068165,-2.152463739873483,time_varying
288000,0.6494657262849908,-1.8744376264732816,impulsive
288000,0.5217890869494609,-2.8250500826906277,regime_switch
288000,0.5382165476982766,-2.6904295379633387,time_varying
288000,0.34405860898075075,-4.633675708317073,gaussian
288000,0.6556263204293616,-1.833436197930936,time_varying
288000,0.6152729751979753,-2.109321601268476,regime_switch
304000,0.44157049717040164,-3.549999510027899,time_varying
304000,0.2858386378852414,-5.4387906635466,burst
304000,0.5354534773982325,-2.712782566463196,colored
304000,0.2955374065624279,-5.2938754207228484,colored
304000,0.5795881887007478,-2.368804735009355,time_varying
304000,0.20154616341123616,-6.956254645650301,time_varying
304000,0.5428216511769364,-2.6534283824226272,alpha_stable
304000,0.3155278478354334,-5.0096230479392805,regime_switch
320000,0.8180921319984539,-0.8719778414551904,alpha_stable
320000,0.4275142804254326,-3.6904937378536333,gaussian
320000,0.5329994845411831,-2.7327321097454176,burst
320000,0.5429891788800288,-2.6520882528976273,alpha_stable
320000,0.24239864733744093,-6.154698080003475,alpha_stable
320000,0.4706369783985165,-3.2731395288473757,colored
320000,0.2215588704488816,-6.545108576372601,gaussian
320000,0.24480353470546634,-6.111823157240631,impulsive
336000,0.5066748826101318,-2.9527062445170187,regime_switch
336000,0.4232085511975229,-3.734455656873965,time_varying
336000,0.456268578509944,-3.4077943841379494,alpha_stable
336000,0.25402124873120235,-5.951299533754753,burst
336000,0.20054701275619266,-6.977838026563036,impulsive
336000,0.3410145826155871,-4.67227049117464,gaussian
336000,0.43295849374392154,-3.6355373598280094,time_varying
336000,0.5274573837530296,-2.7781262370444395,chirp_interferer
352000,0.2363275889220973,-6.26485575796062,time_varying
352000,0.5276077441105084,-2.776888385991127,gaussian
352000,0.3714126925288066,-4.301432589121575,regime_switch
352000,0.500964240875845,-3.001932732228154,time_varying
352000,0.26283926269404767,-5.8030975974328385,time_varying
352000,0.2006397918577208,-6.975829313809561,alpha_stable
352000,0.3706300719136771,-4.310593461159851,burst
352000,0.36520881296577784,-4.374587509168732,alpha_stable
368000,0.4298037712652581,-3.667297781583491,colored
368000,0.33911894540875154,-4.696479470043487,burst
368000,0.5552817393356428,-2.554866082413348,time_varying
368000,0.3355471576365443,-4.742464356662209,time_varying
368000,0.2906147960650739,-5.366822782476759,alpha_stable
368000,0.502487808655423,-2.988744706188588,time_varying
368000,0.4019872698227175,-3.957876999823287,gaussian
368000,0.4197325848036031,-3.7702731420162428,regime_switch
384000,0.3969851478097623,-4.012257409559982,regime_switch
384000,0.33364528191880743,-4.767150121309994,burst
384000,0.2660542629373699,-5.750297780631506,impulsive
384000,0.24613446368035413,-6.088275722430547,gaussian
384000,0.10031715182080822,-9.986248067130353,impulsive
384000,0.187245708938819,-7.275881261257541,colored
384000,0.5683626933834314,-2.4537443635507046,regime_switch
384000,0.1302275322207761,-8.852971891323369,regime_switch
400000,0.4960317836305663,-3.044904948534297,impulsive
400000,0.2734054276487002,-5.63192868060381,regime_switch
400000,0.41932010352761856,-3.774543156497345,impulsive
400000,0.4245420180560003,-3.72079320008418,regime_switch
