method,family,mse_db_mean,mse_db_std,n
PPO-MLP,alpha_stable,-18.332007323338466,3.124057835911004,5
PPO-MLP,burst,-33.472774597647096,15.184683546346557,5
PPO-MLP,chirp_interferer,-19.051811287254658,2.4328865531146864,5
PPO-MLP,colored,-17.29695467561529,1.3700635483830736,5
PPO-MLP,gaussian,-17.88069085255838,2.881560034761221,5
PPO-MLP,impulsive,-19.532398572236808,3.278975558541639,5
PPO-MLP,regime_switch,-11.283873305726228,2.391580575170511,5
PPO-MLP,time_varying,-16.59951940143893,4.264730738097607,5
