ablation,family,seed,snr_db,ss_mse_db
reward=neg_abs,time_varying,1,0,-1.921043050944886
reward=neg_abs,time_varying,2,0,-4.764567138220653
reward=neg_abs,time_varying,0,10,-2.7187696309476896
reward=neg_abs,time_varying,1,10,-1.921043050944886
reward=neg_abs,time_varying,2,10,-4.764567138220653
reward=neg_abs,time_varying,0,20,-2.7187696309476896
reward=neg_abs,time_varying,1,20,-1.921043050944886
reward=neg_abs,time_varying,2,20,-4.764567138220653
reward=neg_abs,regime_switch,0,0,-2.7757820531220254
reward=neg_abs,regime_switch,1,0,-1.3262501774242632
reward=neg_abs,regime_switch,2,0,-8.030311158153344
reward=neg_abs,regime_switch,0,10,-2.7757820531220254
reward=neg_abs,regime_switch,1,10,-1.3262501774242632
reward=neg_abs,regime_switch,2,10,-8.030311158153344
reward=neg_abs,regime_switch,0,20,-2.7757820531220254
reward=neg_abs,regime_switch,1,20,-1.3262501774242632
reward=neg_abs,regime_switch,2,20,-8.030311158153344
no_curriculum,gaussian,0,0,-7.597792911586678
no_curriculum,gaussian,1,0,-8.451849300623968
no_curriculum,gaussian,2,0,-7.000850893872892
no_curriculum,gaussian,0,10,-10.067902762674677
no_curriculum,gaussian,1,10,-14.142924004704254
no_curriculum,gaussian,2,10,-8.822222484437916
no_curriculum,gaussian,0,20,-12.18518364454219
no_curriculum,gaussian,1,20,-16.640482702706997
no_curriculum,gaussian,2,20,-14.304073248025029
no_curriculum,colored,0,0,-8.57025484544135
no_curriculum,colored,1,0,-10.738415621560208
no_curriculum,colored,2,0,-7.302200963235846
no_curriculum,colored,0,10,-11.160132907687522
no_curriculum,colored,1,10,-15.701615694941136
no_curriculum,colored,2,10,-10.22112104128237
no_curriculum,colored,0,20,-11.526231314626557
no_curriculum,colored,1,20,-17.98219566488833
no_curriculum,colored,2,20,-13.087735197175796
no_curriculum,impulsive,0,0,-8.529294041705512
no_curriculum,impulsive,1,0,-9.32603042870034
no_curriculum,impulsive,2,0,-6.526633391388906
no_curriculum,impulsive,0,10,-10.734351621577751
no_curriculum,impulsive,1,10,-14.172767591097235
no_curriculum,impulsive,2,10,-8.355250691603285
no_curriculum,impulsive,0,20,-12.140437167799472
no_curriculum,impulsive,1,20,-17.265177423565877
no_curriculum,impulsive,2,20,-11.426861626195192
no_curriculum,time_varying,0,0,-11.547473483195215
no_curriculum,time_varying,1,0,-11.706881331586468
no_curriculum,time_varying,2,0,-11.705117457207399
no_curriculum,time_varying,0,10,-11.547473483195215
no_curriculum,time_varying,1,10,-11.706881331586468
no_curriculum,time_varying,2,10,-11.705117457207399
no_curriculum,time_varying,0,20,-11.547473483195215
no_curriculum,time_varying,1,20,-11.706881331586468
no_curriculum,time_varying,2,20,-11.705117457207399
no_curriculum,regime_switch,0,0,-12.143037527791014
no_curriculum,regime_switch,1,0,-15.306029289605865
no_curriculum,regime_switch,2,0,-9.299992279073773
no_curriculum,regime_switch,0,10,-12.143037527791014
no_curriculum,regime_switch,1,10,-15.306029289605865
no_curriculum,regime_switch,2,10,-9.299992279073773
no_curriculum,regime_switch,0,20,-12.143037527791014
no_curriculum,regime_switch,1,20,-15.306029289605865
no_curriculum,regime_switch,2,20,-9.299992279073773
lstm=128,gaussian,0,0,-7.927387229922279
lstm=128,gaussian,1,0,-9.313032662454084
lstm=128,gaussian,2,0,-7.742147217085335
lstm=128,gaussian,0,10,-11.481197949120299
lstm=128,gaussian,1,10,-16.187013969257993
lstm=128,gaussian,2,10,-12.015197233311241
lstm=128,gaussian,0,20,-16.142077591707366
