step,ss_mse,ss_mse_db,ep_mse,family,snr_db,divergence_count
16000,0.06408957755948977,-11.932125910115467,0.11564595596821903,regime_switch,20.0,0
16000,0.558798736389505,-2.527445846252348,0.5271608241212522,impulsive,10.0,0
16000,0.4828136422989071,-3.1622046705052806,0.42480823406952023,colored,5.0,0
16000,0.08820643122110088,-10.544997488540538,0.10455129334578715,gaussian,0.0,0
16000,0.17705982405038223,-7.518799716850841,0.10229823745109975,regime_switch,0.0,0
16000,0.33161066437787373,-4.793715112748874,0.2358412883236848,regime_switch,5.0,0
16000,0.43564283977424917,-3.608694196343902,0.40574814953031285,gaussian,15.0,0
16000,0.5902862359205102,-2.2893734338058156,0.44140825325784677,colored,0.0,0
32000,0.07788241725335564,-11.08560577645889,0.09722817423723847,time_varying,20.0,0
32000,0.18634216997817885,-7.296888514010423,0.18448283449841285,regime_switch,15.0,0
32000,0.2940067507903525,-5.316426974865733,0.29797450617477045,regime_switch,15.0,0
32000,0.11639891328552557,-9.340510742898111,0.13503420739958133,regime_switch,15.0,0
32000,0.16936156822686943,-7.711851335576288,0.18059222129572505,gaussian,10.0,0
32000,0.2161693124208764,-6.6520595881834685,0.18764852119206535,colored,20.0,0
32000,0.1484829979358522,-8.283232724406222,0.11623157099175879,colored,10.0,0
32000,0.1941879068998298,-7.117778193804809,0.18127051479243195,gaussian,20.0,0
48000,0.14662946078249228,-8.337787625034421,0.19962176486264951,impulsive,20.0,0
48000,0.13776212455472142,-8.608701681863591,0.1485599761386332,regime_switch,5.0,0
48000,0.3272433271374848,-4.851292004425419,0.29808693421923665,time_varying,0.0,0
48000,0.29388990464228404,-5.318153320390474,0.2501183519438493,impulsive,20.0,0
48000,0.13502183340867135,-8.69595999189019,0.13919478227127044,impulsive,10.0,0
48000,0.12199186250530022,-9.136691380668756,0.1437895497981174,regime_switch,10.0,0
48000,0.4256126448329456,-3.7098547775241224,0.47721805700979625,regime_switch,0.0,0
48000,0.1512327223766779,-8.203542299293288,0.1631850011356932,impulsive,20.0,0
64000,0.6502390486592873,-1.8692695346728025,0.30474849105750484,regime_switch,20.0,0
64000,0.4134487939686651,-3.835782705696869,0.459168060789852,regime_switch,5.0,0
64000,0.19417684122930406,-7.118025680718711,0.10975019723488823,colored,0.0,0
64000,0.05307074263278458,-12.751448351236172,0.06411102714776956,regime_switch,10.0,0
64000,0.46594403710061916,-3.3166624175947694,0.45004067209346366,impulsive,15.0,0
64000,0.5437166676445621,-2.646273534880041,0.5588810724472028,regime_switch,15.0,0
64000,0.10480753114373897,-9.79607509173978,0.11830978087531707,time_varying,15.0,0
64000,0.40563170524885045,-3.918681067395222,0.4544910845056265,regime_switch,20.0,0
80000,0.08467640782867081,-10.722375740447163,0.0970889078914587,regime_switch,15.0,0
80000,0.08813696260018816,-10.548419203370266,0.16640881600927185,time_varying,15.0,0
80000,0.4338154083277401,-3.6269502670332305,0.32655533079979426,time_varying,0.0,0
80000,0.06534267108154682,-11.848031163757263,0.10649687039449876,time_varying,5.0,0
80000,0.38542048433767717,-4.140652071718994,0.40115502612612214,colored,15.0,0
80000,0.20143531094934153,-6.958643967084825,0.1916382369176378,impulsive,10.0,0
80000,0.0699244957230857,-11.553706569555288,0.08468186657589492,gaussian,0.0,0
80000,0.5859967637659967,-2.321047824153845,0.547279637937422,colored,5.0,0
96000,0.15868763942464462,-7.994569002035559,0.1543889005519854,gaussian,15.0,0
96000,0.07002514548282972,-11.547459802157999,0.114953228217516,regime_switch,5.0,0
96000,0.46665472840143374,-3.310043293027075,0.42331851766039075,gaussian,10.0,0
96000,0.06320512868472089,-11.992476801110064,0.10721794395097292,impulsive,0.0,0
96000,0.32032959359568336,-4.944029372586244,0.3059177448535762,regime_switch,20.0,0
96000,0.08590826318400639,-10.659650610458682,0.10209501116128687,regime_switch,20.0,0
