iter,ss_mse,ss_mse_db,ep_mse,ep_mse_db,mean_mu,mean_lam,time_s,lr
0,0.06634026020765305,-11.782228293652171,0.07225586473941803,-11.411268970692374,0.5145489573478699,0.9855091571807861,8.593283999012783,0.00029999981556180566
1,0.03036901168525219,-15.175693413116043,0.043401118367910385,-13.624990793541107,0.5884462594985962,0.9946383237838745,8.276284231003956,0.0002999992622476778
2,0.03268187865614891,-14.856929868096728,0.04585931450128555,-13.385724413221675,0.6753388047218323,0.9844937920570374,8.02269991900539,0.0002999983400589816
3,0.04894794151186943,-13.102655675666616,0.07946521043777466,-10.998229621774612,0.8276625275611877,0.9796133041381836,8.227542977998382,0.0002999970489979925
4,0.0538153201341629,-12.690940718610847,0.04659394919872284,-13.316704781553245,0.8149380087852478,0.9877886176109314,7.999075828993227,0.00029999538906789607
5,0.060632724314928055,-12.172929178479352,0.06704305857419968,-11.736461809524886,0.8071566820144653,0.9815692901611328,8.054715056001442,0.00029999336027278803
6,0.07599124312400818,-11.192364508981928,0.06611229479312897,-11.797177679769788,0.9389133453369141,0.985470175743103,8.056184835993918,0.0002999909626176742
7,0.05057136341929436,-12.960953374900907,0.05523204430937767,-12.578088818843188,0.8072333335876465,0.9841234087944031,8.169436358002713,0.00029998819610847056
8,0.06738834083080292,-11.714152362601869,0.082365021109581,-10.842571859230052,0.7069658637046814,0.9837705492973328,8.196179628008395,0.0002999850607520032
9,0.06665802001953125,-11.761475905694038,0.06254848092794418,-12.03783233247751,0.515237033367157,0.9953081011772156,8.124296830996173,0.0002999815565560083
10,0.07429881393909454,-11.290181189902118,0.058086901903152466,-12.359217862335573,0.7802567481994629,0.9864261746406555,8.172911393005052,0.00029997768352913216
11,0.05031893402338028,-12.982685677264021,0.052984569221735,-12.758505922325545,0.9359831809997559,0.9751033186912537,8.644714873007615,0.000299973441680931
12,0.07194748520851135,-11.429843814177074,0.0735822319984436,-11.332270426758615,0.9366453289985657,0.972139835357666,8.215254528011428,0.0002999688310218713
13,0.09025988727807999,-10.445052131835233,0.1020263209939003,-9.912877734517089,0.9002310633659363,0.9657087922096252,8.006463111989433,0.0002999638515633292
