step,ss_mse,ss_mse_db,ep_mse,family,snr_db,divergence_count
8000,0.0632251241574686,-11.991103091360314,0.0969913649596575,impulsive,15.0,0
8000,0.21173612410867865,-6.742050410683516,0.2896474804250036,gaussian,20.0,0
8000,0.06521694666066447,-11.856395379285836,0.10889551454714354,regime_switch,10.0,0
8000,0.3625438003637193,-4.406395170720792,0.41100877066958835,impulsive,10.0,0
8000,0.1865377294227854,-7.292333138641595,0.2430824753401938,time_varying,0.0,0
8000,0.1127241483030007,-9.4798303735446,0.11974726601663528,time_varying,5.0,0
8000,0.0979546140647142,-10.089751021288366,0.1592124561624433,gaussian,0.0,0
8000,0.07604442311773521,-11.189326303627114,0.1346881576315732,regime_switch,5.0,0
16000,0.05800032718097353,-12.365695565590471,0.06276286562772593,gaussian,10.0,0
16000,0.0524199188750015,-12.805036554941907,0.06650996658116716,impulsive,10.0,0
16000,0.14558444753442953,-8.368850172640958,0.16186065995095067,gaussian,15.0,0
16000,0.22661007443896752,-6.4472078654486955,0.3048036491273733,regime_switch,5.0,0
16000,0.06799364443267188,-11.675316801817502,0.0651170742208115,impulsive,20.0,0
16000,0.07352688257041166,-11.335538470669446,0.07406155016465246,regime_switch,15.0,0
16000,0.32263686647565615,-4.912860089477031,0.27728361389686923,regime_switch,10.0,0
16000,0.04776178051472229,-13.209194914737544,0.05569493048419776,gaussian,20.0,0
24000,0.20167526003195155,-6.953473744206836,0.2331637425618112,gaussian,15.0,0
24000,0.07891818206660395,-11.028229275645693,0.08005809203979652,impulsive,5.0,0
24000,0.049051380910667276,-13.093487617014594,0.07314081142553457,time_varying,5.0,0
24000,0.04950801888521879,-13.053244520566718,0.055056462395260186,impulsive,10.0,0
24000,0.04227870603068041,-13.738783130368086,0.057570762356599046,regime_switch,0.0,0
24000,0.04640693560839195,-13.334171084150677,0.06061195688848734,time_varying,10.0,0
24000,0.0349532504378766,-14.565124313051802,0.039757297075924916,gaussian,20.0,0
24000,0.04080794381849536,-13.892552873718888,0.07542064466638596,colored,0.0,0
32000,0.041519556994514574,-13.817472889608961,0.03820391808517107,colored,10.0,0
32000,0.019490032992182257,-17.10187425697932,0.03142028052542724,gaussian,20.0,0
32000,0.2799315293611518,-5.529481831457272,0.2914044536356459,impulsive,0.0,0
32000,0.09085697985336327,-10.416417035150545,0.11575477603073399,impulsive,20.0,0
32000,0.022834145214726424,-16.414152413392888,0.049389963079001585,time_varying,5.0,0
32000,0.10892752603136366,-9.62862359974294,0.12706915065539226,colored,10.0,0
32000,0.20534679029211605,-6.87512081068826,0.22775295140432927,colored,5.0,0
32000,0.09256862407485426,-10.335361915014056,0.1243025145947516,regime_switch,10.0,0
40000,0.1201049737387307,-9.204390073931561,0.13938959208210094,gaussian,5.0,0
40000,0.045338460394825586,-13.43533231738174,0.057212581898365894,colored,5.0,0
40000,0.16688694292779768,-7.775776407671215,0.1766809865906967,time_varying,15.0,0
40000,0.09005739667152694,-10.454806115269557,0.10775397059070316,gaussian,15.0,0
40000,0.04559541817477837,-13.410787968301356,0.059542005340217134,impulsive,20.0,0
40000,0.06541404546923946,-11.84328991502909,0.07459952829490808,colored,0.0,0
40000,0.02006908322641334,-16.974724659962867,0.039733441252326356,regime_switch,0.0,0
40000,0.01899604989940453,-17.213366982476384,0.04086684807694084,time_varying,20.0,0
48000,0.01006672656986854,-19.97111727392951,0.02044949908642172,regime_switch,20.0,0
48000,0.07103652420980137,-11.485182965678371,0.07360954147498283,gaussian,0.0,0
48000,0.009070851050649613,-20.423519643515988,0.019075637626305608,colored,20.0,0
48000,0.023347817948464758,-16.317537016840948,0.02484714274423763,colored,5.0,0
48000,0.06396773209047511,-11.94039046462641,0.07966545503711364,colored,0.0,0
48000,0.05386221540942118,-12.687157875614584,0.06038566346265129,gaussian,15.0,0
48000,0.024141038460650757,-16.172440520321956,0.039528139464996004,time_varying,0.0,0
48000,0.009912685429632301,-20.038086755132145,0.018842075744434736,impulsive,10.0,0
56000,0.004988798437470307,-23.020040424285185,0.018929820325197192,time_varying,5.0,0
56000,0.005819689463256432,-22.35100188470032,0.010255031074744486,colored,15.0,0
56000,0.003977164173567068,-24.00426481270264,0.005886084445479383,time_varying,20.0,0
56000,0.11996428838229561,-9.209480178382103,0.13464370278896512,gaussian,5.0,0
56000,0.005349748675255906,-22.71666620049615,0.006609770519001688,gaussian,15.0,0
56000,0.04064786444285726,-13.909622664195219,0.05597403330168345,gaussian,0.0,0
56000,0.0022514119222100896,-26.475450382689097,0.004505225940551409,colored,15.0,0
56000,0.0030386092840839034,-25.173251394202065,0.008838572902490934,time_varying,20.0,0
64000,0.013394515914894644,-18.73072977379004,0.012181502788730088,time_varying,0.0,0
64000,0.014726733259293258,-18.318935793196584,0.0425293913724978,time_varying,20.0,0
64000,0.005292138838206779,-22.763687706239125,0.009008529612276614,time_varying,20.0,0
64000,0.001434237130597675,-28.433790380473635,0.0026885596179413935,colored,20.0,0
64000,0.00578061138756918,-22.38026225828633,0.014910216717217616,impulsive,5.0,0
64000,0.0022180284323875983,-26.54032890836008,0.006183696878098155,colored,15.0,0
64000,0.001786518209902678,-27.479925524510552,0.009573025602842527,time_varying,0.0,0
64000,0.0026371219305714342,-25.788697894388697,0.0036916037896836023,impulsive,15.0,0
72000,0.05307193392661256,-12.751350865031267,0.041387397816770206,gaussian,15.0,0
72000,0.0038791524872200363,-24.112631480898475,0.007400293878448008,impulsive,15.0,0
72000,0.00844213426840919,-20.735477448137146,0.010262094646051491,regime_switch,15.0,0
72000,0.005440493395153064,-22.6436171252426,0.02034670649132841,regime_switch,20.0,0
72000,0.014182451317076161,-18.482486984967117,0.017708918169206802,time_varying,15.0,0
72000,0.048947684208494366,-13.10267850517205,0.06527462904045093,impulsive,0.0,0
72000,0.0033368573339079537,-24.76662360916894,0.006987955041314109,gaussian,20.0,0
72000,0.003444294174469425,-24.628997627564143,0.007209737039358821,colored,15.0,0
80000,0.0042779083579250286,-23.687685230930228,0.005121324415485448,impulsive,20.0,0
80000,0.0022547744030172803,-26.468969038931608,0.0031914297528192457,colored,20.0,0
80000,0.020791192437382772,-16.821206018393504,0.012021592673833306,time_varying,5.0,0
80000,0.08947930679219492,-10.48277389093249,0.12296347431851307,time_varying,15.0,0
80000,0.08684224804565276,-10.612689426839978,0.06752970895822219,time_varying,20.0,0
80000,0.004680336482066377,-23.297229231041023,0.01132743069874742,time_varying,20.0,0
80000,0.0025921690890505404,-25.863366723690664,0.006967169654325456,regime_switch,10.0,0
80000,0.018769165842620755,-17.265550282610505,0.013502055188137711,time_varying,0.0,0
88000,0.05180507596425018,-12.856276851254993,0.05379106923789066,gaussian,10.0,0
88000,0.007092516136785948,-21.491996673694857,0.008948165357898979,colored,15.0,0
88000,0.023484768745079553,-16.29213711946393,0.020348150196561207,impulsive,5.0,0
88000,0.07378310474884629,-11.320430738671972,0.07992629920421704,colored,10.0,0
88000,0.03340908466906488,-14.761354228409314,0.020407164735430586,regime_switch,20.0,0
88000,0.14440463712815682,-8.404188604556495,0.16364675330756062,gaussian,5.0,0
88000,0.04614973725640227,-13.358307671837935,0.046087275015243304,regime_switch,15.0,0
88000,0.1353624884606681,-8.685016702976863,0.08649324527416356,time_varying,10.0,0
96000,0.0006438285034158715,-31.912297995726135,0.005648475996090162,time_varying,20.0,0
96000,0.06063616073793128,-12.172683044518852,0.04108157917167338,time_varying,20.0,0
96000,0.050223237303204,-12.990952968393705,0.061038835131267385,gaussian,0.0,0
96000,0.002785167180064964,-25.55148730962479,0.0060721700558178365,time_varying,15.0,0
96000,0.0004218832056235996,-33.74807761690549,0.004204309111174824,time_varying,10.0,0
96000,0.021744556449957323,-16.626494467186422,0.018750885855805033,impulsive,5.0,0
