step,ss_mse,ss_mse_db,ep_mse,family,snr_db,divergence_count
8000,0.07911684367026106,-11.017310470364743,0.10345849002597307,gaussian,10.0,0
8000,0.057268020367258136,-12.420878292491862,0.08591898621387853,impulsive,15.0,0
8000,0.07525690395101994,-11.23453652402166,0.08956408826304663,gaussian,10.0,0
8000,0.07138390782815775,-11.463996807823706,0.09477929836772798,impulsive,10.0,0
8000,0.06587507132433666,-11.812789015527045,0.08264357542617111,colored,10.0,0
8000,0.20712242068037814,-6.837728868565871,0.2737325186927861,time_varying,5.0,0
8000,0.06273181158046538,-12.025121706409898,0.1240449459290695,time_varying,20.0,0
8000,0.10702129875602116,-9.70529782948896,0.15200524791966075,regime_switch,20.0,0
16000,0.04126335144352933,-13.84435501162798,0.05790121848399522,time_varying,20.0,0
16000,0.08732552882994016,-10.58858775656949,0.06322257167589061,regime_switch,15.0,0
16000,0.05050728321312172,-12.966459915519522,0.07363940796540869,regime_switch,15.0,0
16000,0.0659809454876245,-11.805814654267728,0.07856416136185018,colored,10.0,0
16000,0.2589538545668696,-5.86777620057955,0.25333935677214714,impulsive,0.0,0
16000,0.04754425341149529,-13.229019679392493,0.05784981620882103,gaussian,10.0,0
16000,0.04865971860079336,-13.12830406914484,0.0724020218461716,regime_switch,0.0,0
16000,0.0510721161842616,-12.9181614667665,0.057195681196338374,colored,20.0,0
24000,0.051795665846741654,-12.85706579582194,0.0494216166404562,gaussian,10.0,0
24000,0.06435709023502924,-11.914035997968007,0.06484054364122403,impulsive,5.0,0
24000,0.19571484860908156,-7.083762237809848,0.19607246176503507,gaussian,10.0,0
24000,0.04746208038052077,-13.236532294896628,0.046059161544178565,colored,20.0,0
24000,0.13350027840423873,-8.745178286085233,0.0824893140531954,regime_switch,0.0,0
24000,0.20923277407859206,-6.793702868836964,0.19770117079631683,gaussian,5.0,0
24000,0.030647826165351538,-15.136003243246524,0.032050440090240384,impulsive,15.0,0
24000,0.1748053062913886,-7.574453883004349,0.1944673912077959,time_varying,0.0,0
32000,0.035339791952789454,-14.517360115238551,0.04509712609409027,regime_switch,10.0,0
32000,0.12172942338582254,-9.14604435162972,0.12433569200795501,gaussian,10.0,0
32000,0.08791417331294808,-10.559411033581686,0.10780356645219755,gaussian,20.0,0
32000,0.06437500360324323,-11.912827336353677,0.0882647694266516,colored,0.0,0
32000,0.03524448863353774,-14.529087862681763,0.05128433055282637,colored,15.0,0
32000,0.29933576734692724,-5.238413866220377,0.3253690670167119,colored,0.0,0
32000,0.056941871288503386,-12.44568264667964,0.059970167861776565,gaussian,5.0,0
32000,0.12621974495569566,-8.988727017084752,0.14768575537996245,gaussian,20.0,0
40000,0.06481120887193804,-11.883498779150019,0.05847093540113271,time_varying,15.0,0
40000,0.1499271376001486,-8.241197504490604,0.1440943705993148,impulsive,5.0,0
40000,0.11655766091901415,-9.334591765754338,0.09957824410924553,gaussian,0.0,0
40000,0.21136113099618895,-6.74974875805797,0.19708710163533885,impulsive,5.0,0
40000,0.04142352814172979,-13.827529139489831,0.04961658712186821,colored,0.0,0
40000,0.02230546654480464,-16.51588688533125,0.03082838469394826,impulsive,10.0,0
40000,0.024173567292417618,-16.1665925602474,0.03025507852113685,gaussian,15.0,0
40000,0.025705339620761346,-15.899766538127995,0.031130383597910385,colored,20.0,0
48000,0.009153040610232591,-20.38434610707406,0.014594638977019193,impulsive,15.0,0
48000,0.039510372981136674,-14.032888705129544,0.08150921990026899,colored,0.0,0
48000,0.19126713922299468,-7.183596378114966,0.19011856676581187,impulsive,15.0,0
48000,0.015461915616563073,-18.107367011939427,0.039252095431917634,time_varying,5.0,0
48000,0.015457417865709389,-18.108630524551366,0.023631873579086388,time_varying,20.0,0
48000,0.20444471731036729,-6.894241067881155,0.19394199486772756,regime_switch,5.0,0
48000,0.01094774261872268,-19.606754213594783,0.016535136997151152,impulsive,15.0,0
48000,0.01351928580992858,-18.690462504480298,0.06688268042179318,time_varying,0.0,0
56000,0.04520417519452258,-13.44821450572812,0.05549984211306839,regime_switch,0.0,0
56000,0.24598771043964301,-6.090865897305116,0.18727539291251466,regime_switch,10.0,0
56000,0.10092000356894765,-9.960227427917149,0.09160615876085697,colored,10.0,0
56000,0.00921993715187601,-20.352720392774092,0.012241393828063982,time_varying,15.0,0
56000,0.05217416137090349,-12.825445228946457,0.05213550161054083,colored,15.0,0
56000,0.01189696698933139,-19.245637434187422,0.013833932572084375,impulsive,10.0,0
56000,0.286727741857319,-5.425302855916447,0.3633667893130304,impulsive,0.0,0
56000,0.07834823723278854,-11.059707703281372,0.08234330169714457,colored,20.0,0
64000,0.003870485867572309,-24.12234513845402,0.0067326814061861185,gaussian,15.0,0
64000,0.004641819289537131,-23.333117709568345,0.014675067906334122,time_varying,15.0,0
64000,0.0033565580861863254,-24.74105832695892,0.008166829415814314,regime_switch,15.0,0
64000,0.06869224892808132,-11.630922649381406,0.11444030481584369,colored,20.0,0
64000,0.022778763064054488,-16.42469862724277,0.025139409703782513,colored,0.0,0
64000,0.009073613653319504,-20.42219716514703,0.01827381634576471,colored,5.0,0
64000,0.005364156814259684,-22.704985345105065,0.008106443796474362,impulsive,10.0,0
64000,0.029613165406543327,-15.285151675666867,0.0345970284772976,impulsive,20.0,0
72000,0.31613659959528007,-5.001252223427204,0.3882544005722234,impulsive,0.0,0
72000,0.23525621216732043,-6.2845889978252725,0.24897930453413222,impulsive,15.0,0
72000,0.0025193098882207304,-25.98718408563426,0.00530107227629601,impulsive,20.0,0
72000,0.0447529883249923,-13.491779598976185,0.06586039445883939,time_varying,0.0,0
72000,0.002757777911061021,-25.594407111297066,0.003241514055374159,regime_switch,0.0,0
72000,0.025528218456444193,-15.929794923284682,0.016482460678339042,regime_switch,20.0,0
72000,0.002696407912179647,-25.692144070023115,0.00499879584198084,regime_switch,20.0,0
72000,0.002910307153249885,-25.360611730909707,0.008548813705914267,regime_switch,10.0,0
80000,0.004142611151020361,-23.827258300271584,0.007398764839161241,time_varying,5.0,0
80000,0.011199097604337425,-19.508169702594063,0.031042921543193443,time_varying,15.0,0
80000,0.20647771197376608,-6.851268209508163,0.1529527097881064,regime_switch,20.0,0
80000,0.005948827328256666,-22.255686367296548,0.018698232895471494,time_varying,10.0,0
80000,0.15976506870147475,-7.965181695031809,0.14045643022047494,impulsive,0.0,0
80000,0.002642647415112036,-25.77960776880221,0.00930332483027853,time_varying,20.0,0
80000,0.06468666181282709,-11.89185260256041,0.06190668516199791,gaussian,15.0,0
80000,0.10456274621798127,-9.806230190379988,0.09810674364681052,colored,0.0,0
88000,0.0009548489596534584,-30.20065320293194,0.005947087497629032,colored,15.0,0
88000,0.010274222241826787,-19.882510442385644,0.00544202722036179,time_varying,15.0,0
88000,0.050516104209044774,-12.965701495125652,0.05021274867355066,gaussian,15.0,0
88000,0.004001877641458897,-23.97736194064944,0.03327646879790248,regime_switch,20.0,0
88000,0.0023322977980747522,-26.322159975504036,0.04164186759998192,regime_switch,0.0,0
88000,0.025410895180861596,-15.94980035237123,0.030405712495553856,colored,0.0,0
88000,0.01526707356839022,-18.162442016119144,0.021479590140759324,time_varying,5.0,0
88000,0.0008536402926878331,-30.687250934508874,0.006369795386171821,impulsive,15.0,0
96000,0.06910144828144207,-11.605128502454622,0.09977767438489801,time_varying,20.0,0
96000,0.009524893903436447,-20.21139853129973,0.008676996943946793,colored,5.0,0
96000,0.08314466257033902,-10.801656248595592,0.17943229546532047,regime_switch,10.0,0
96000,0.005369982716962741,-22.70027111973721,0.0024976406122669235,colored,20.0,0
96000,0.04556868314580419,-13.413335215676458,0.04278971069482555,colored,15.0,0
96000,0.15860933090643778,-7.996712669401688,0.10767048037390815,gaussian,0.0,0
96000,0.06767461275036234,-11.695742206764459,0.07093172239859959,gaussian,20.0,0
96000,0.011558278366042132,-19.371068502905956,0.0057794737535007456,time_varying,10.0,0
104000,0.1511984520606706,-8.204526550287012,0.15179483530386126,colored,5.0,0
104000,0.018780867717398494,-17.262843462229096,0.019993744033956946,colored,20.0,0
104000,0.02911115403995307,-15.359405776706577,0.0782090609275135,regime_switch,10.0,0
104000,0.0014771951826175979,-28.305621170322354,0.0036508536892441937,gaussian,20.0,0
104000,0.2608407730101828,-5.836245214150699,0.2310801278141825,impulsive,0.0,0
104000,0.00197204081384342,-27.05084100815779,0.002052344139242347,gaussian,20.0,0
104000,0.03286439038264945,-14.832744192324686,0.03401946370029566,colored,15.0,0
104000,0.005019858988309324,-22.99308482262347,0.006443139737136958,regime_switch,10.0,0
112000,0.0036447321241236032,-24.383343852762444,0.003550289733316245,impulsive,20.0,0
112000,0.05087168176816491,-12.935239047709427,0.05266339403253257,gaussian,20.0,0
112000,0.0030015054548003296,-25.22660862895539,0.00431799129476066,regime_switch,5.0,0
112000,0.17614123158692738,-7.541389713743689,0.1778471757588477,gaussian,5.0,0
112000,0.09767440110825831,-10.102192429723027,0.07943845261355467,time_varying,0.0,0
112000,0.08493701509118247,-10.709030053158132,0.09670902364606133,time_varying,0.0,0
112000,0.006475998833554576,-21.88693238075946,0.007608938978606359,gaussian,10.0,0
112000,0.06921889863321186,-11.597753151963213,0.055238605724139876,impulsive,0.0,0
120000,0.32673466475179624,-4.8580478682172625,0.3291299525184227,impulsive,0.0,0
120000,0.024549779476085155,-16.09952404653648,0.0131966987631337,time_varying,15.0,0
120000,0.027859768244562096,-15.550225006217529,0.0269316599700385,colored,20.0,0
120000,0.010622507283574318,-19.73772962413139,0.05264039278601055,regime_switch,20.0,0
120000,0.04536754537927862,-13.432547176843572,0.05258691445900193,regime_switch,20.0,0
120000,0.08166542758746889,-10.879617596886764,0.09740611133404799,time_varying,0.0,0
120000,0.06707595174678448,-11.734331563618973,0.06420642415437836,impulsive,20.0,0
120000,0.005469910861842301,-22.62019750831312,0.004930833518675706,impulsive,15.0,0
128000,0.11180160458258266,-9.515519633834508,0.10534545879781,impulsive,15.0,0
128000,0.14656170656106918,-8.339794867290722,0.14257523757169896,impulsive,5.0,0
128000,0.08370670126580108,-10.772397725121737,0.0846362629378828,regime_switch,5.0,0
128000,0.007110346335877794,-21.481092447650802,0.010323260964775337,impulsive,10.0,0
128000,0.005132112452901065,-22.89703836012302,0.009710706992372847,impulsive,10.0,0
128000,0.03267211333575381,-14.8582277306033,0.04533071153040712,regime_switch,20.0,0
128000,0.037248562876441765,-14.288904785247318,0.03798730834632563,regime_switch,0.0,0
128000,0.006308558197340635,-22.00069886089214,0.007354418910990454,colored,10.0,0
136000,0.004493658102042904,-23.473999736637424,0.025752639191748774,impulsive,5.0,0
136000,0.04512292934093936,-13.456027140835793,0.01803960339662104,regime_switch,15.0,0
136000,0.042217015057798714,-13.745124766020297,0.0489156774091629,impulsive,15.0,0
136000,0.33139689433532815,-4.796515658590939,0.26382380913585857,impulsive,0.0,0
136000,0.03354548314947646,-14.743659486658947,0.04527294380986227,gaussian,0.0,0
136000,0.0015992090499261265,-27.9609476093837,0.004916286615425243,impulsive,10.0,0
136000,0.008792664207154197,-20.558795122314546,0.008123509991913448,impulsive,15.0,0
136000,0.0021176005032774283,-26.741559682854398,0.0041327422308685925,colored,15.0,0
144000,0.0033861502280877987,-24.702937780001083,0.005593018655610996,gaussian,10.0,0
144000,0.0011877576782689029,-29.25272153033928,0.0028748091827791094,colored,15.0,0
144000,0.08610844827501256,-10.649542369358985,0.08873414228020146,gaussian,10.0,0
144000,0.01005090049513576,-19.977950265038842,0.020801006717730375,colored,5.0,0
144000,0.06263625105537943,-12.031742438340656,0.05758001472234879,regime_switch,10.0,0
144000,0.002303134039274086,-26.376807857624797,0.011455492528838509,regime_switch,20.0,0
144000,0.0856864693836562,-10.670877514200052,0.09643544727981876,colored,5.0,0
144000,0.04691375053976723,-13.286998457983438,0.048052780761985464,gaussian,10.0,0
152000,0.01325868620458077,-18.774995077513495,0.07278724688413948,impulsive,0.0,0
152000,0.031912866148204544,-14.960341893230837,0.040899266488998894,regime_switch,5.0,0
152000,0.01108265416090951,-19.553562188645436,0.011503048160297452,gaussian,5.0,0
152000,0.0031961684082330425,-24.95370345355014,0.0037510143397653257,gaussian,10.0,0
152000,0.030110874149363667,-15.212766362783869,0.04070365093929378,gaussian,0.0,0
152000,0.03825551089809692,-14.17305993695395,0.055472659835699316,impulsive,0.0,0
152000,0.000595891178862158,-32.24833042777165,0.001267387026749652,gaussian,20.0,0
152000,0.053679441328184904,-12.701920127517836,0.055897439885738934,gaussian,20.0,0
160000,0.002452815836159815,-26.103350583601696,0.0033865154452012536,gaussian,20.0,0
160000,0.10439770470844616,-9.813090496381628,0.14496972553447668,impulsive,0.0,0
160000,0.015153930735520403,-18.19474702094887,0.01343171002321597,time_varying,0.0,0
160000,0.08896474348066231,-10.507820691411776,0.0818869525532599,regime_switch,5.0,0
160000,0.0012504658613062443,-29.029281600025655,0.0014573001708759992,impulsive,20.0,0
160000,0.08388883488643642,-10.76295837376843,0.19631902082496366,regime_switch,10.0,0
160000,0.0055533796881974615,-22.554426324366542,0.007858827608490496,colored,10.0,0
160000,0.0026413919872306122,-25.781671437786745,0.00239048890697095,colored,15.0,0
168000,0.003595545595556599,-24.442351994131364,0.005684718035650766,regime_switch,0.0,0
168000,0.058884526193923446,-12.29998815077998,0.018686134203113748,regime_switch,20.0,0
168000,0.05365517442319977,-12.703883889726981,0.049745463268193166,gaussian,15.0,0
168000,0.017516023923817854,-17.56564470284589,0.015427428617141751,gaussian,5.0,0
168000,0.07068669663167355,-11.506623135391973,0.04727464992446923,impulsive,0.0,0
168000,0.06894271894390497,-11.615115929982187,0.04216793752283115,regime_switch,0.0,0
168000,0.0012707420449810964,-28.959426000178063,0.004103370800613128,time_varying,10.0,0
168000,0.008922617400920253,-20.495077289793976,0.01354278207833023,gaussian,5.0,0
176000,0.047973765510322196,-13.189961919654706,0.05419311205359085,gaussian,15.0,0
176000,0.0011863895642353795,-29.257726817543066,0.0031980027419044755,gaussian,15.0,0
176000,0.007367523232346293,-21.326784859363773,0.009805395533654077,gaussian,5.0,0
176000,0.035799967598084084,-14.461173664160519,0.01683472292869284,impulsive,5.0,0
176000,0.002625791519394655,-25.807397584965216,0.004485463888209125,impulsive,10.0,0
176000,0.047190377361739436,-13.261465497623666,0.03994829563648527,colored,0.0,0
176000,0.001322523733406142,-28.785965252442885,0.008541152219837997,colored,10.0,0
176000,0.0017699117208502093,-27.520483944683765,0.0018339292428502661,colored,15.0,0
184000,0.00127222406394826,-28.95436393718306,0.005947761248260865,regime_switch,10.0,0
184000,0.017321195665172078,-17.614221323361136,0.015871938418798803,time_varying,0.0,0
184000,0.04943740198335462,-13.059443601988779,0.05560909151548323,gaussian,10.0,0
184000,0.00023721885244950896,-36.248507975012785,0.004836345462535044,regime_switch,20.0,0
184000,0.00910447568124733,-20.40745059738734,0.013354966743425213,colored,5.0,0
184000,0.07398481414131501,-11.308574128500515,0.10846657283473815,colored,0.0,0
184000,0.00175215947229717,-27.564263689321557,0.006475281310752523,gaussian,10.0,0
184000,0.0034087126345664197,-24.6740960952153,0.004025759187595749,time_varying,5.0,0
192000,0.04064911295919578,-13.909489270857915,0.043511132101148334,impulsive,0.0,0
192000,0.0031953242962039882,-24.954850582132764,0.004895342991216905,gaussian,15.0,0
192000,0.04873247398941299,-13.12181540329946,0.017714216718050145,regime_switch,0.0,0
192000,0.014184683294523381,-18.481803563462435,0.014130222115813985,impulsive,20.0,0
192000,0.0008348444968734331,-30.783944107495454,0.02286675212313647,regime_switch,20.0,0
192000,0.0013452376758167474,-28.712009776609513,0.0030231351794343694,gaussian,15.0,0
192000,0.09915734993685295,-10.036750886281622,0.11916855380830203,colored,5.0,0
192000,0.031207667356451318,-15.057386918167875,0.028257412901381396,colored,0.0,0
200000,0.07161496504408163,-11.449962157173466,0.05055315424668925,regime_switch,15.0,0
200000,0.0006449520201818712,-31.904725918933924,0.004481903362393522,time_varying,10.0,0
200000,0.05473331646244118,-12.617482357943805,0.06162546287372835,gaussian,0.0,0
200000,0.003260273600186106,-24.867459525396033,0.006346665589345195,regime_switch,15.0,0
200000,0.0010693821402158713,-29.708670729345403,0.002944102377658561,impulsive,15.0,0
200000,0.01933125713713981,-17.137399022878363,0.015685720577745775,colored,15.0,0
200000,0.004379097901153297,-23.586153453103513,0.004442178714194928,time_varying,15.0,0
200000,0.002499319270424227,-26.021782620964046,0.0030614617075601495,impulsive,10.0,0
208000,0.01979142701783427,-17.03522890782891,0.02135015388800146,gaussian,5.0,0
208000,0.000579014296807421,-32.37310711950976,0.0020727090212144255,impulsive,20.0,0
208000,0.004182563986438162,-23.78557406210461,0.0019809771971902603,regime_switch,0.0,0
208000,0.005304512282792277,-22.753545405458368,0.006850614303413,regime_switch,5.0,0
208000,0.010113683738853334,-19.950906311052957,0.01219940634594693,colored,5.0,0
208000,0.000711248179943116,-31.47978831327807,0.001392536572092262,gaussian,20.0,0
208000,0.03176042730469581,-14.98113663195275,0.0825423776844338,time_varying,0.0,0
208000,0.05683854870325667,-12.453570197273207,0.054958784035676375,impulsive,10.0,0
216000,0.06806539372832617,-11.670736389300664,0.15115323308076684,time_varying,20.0,0
