mse,ss_mse,ss_mse_db,conv_time,snr_improvement_db,train_family,eval_family,seed,model
0.00934480455573922,0.005921982152864683,-22.27532905708923,141,9.102433695912593,gaussian,gaussian,0,CNN
0.009580691954443535,0.005351538268329619,-22.7152136454755,138,8.99416715611143,gaussian,gaussian,1,CNN
0.008721898503365917,0.005005833944439342,-23.00523560995376,138,9.40202563749966,gaussian,gaussian,2,CNN
0.012893475026867236,0.011147636048524433,-19.52817218669122,143,7.70443608833353,gaussian,colored,0,CNN
0.01249049910074085,0.0073312625629096025,-21.34821226270055,140,7.842337998054971,gaussian,colored,1,CNN
0.011294111924812458,0.0092407375294345,-20.342933650769343,138,8.279615049617856,gaussian,colored,2,CNN
0.009904194333115833,0.004882927882506232,-23.113196898110186,143,8.849944390633217,gaussian,impulsive,0,CNN
0.009800939240295441,0.006741698864133174,-21.71230650232692,137,8.895458953937457,gaussian,impulsive,1,CNN
0.0092936854623401,0.005180390362339135,-22.856375131782265,138,9.12625622212337,gaussian,impulsive,2,CNN
0.010181555753324145,0.001625343608792519,-27.890548118778653,141,9.311979134801977,gaussian,time_varying,0,CNN
0.01113893991551473,0.004749671992906839,-23.233363811445912,138,9.33526511742173,gaussian,time_varying,1,CNN
0.015289010379237128,0.0011696924951790694,-29.319282961729506,139,10.746646278981139,gaussian,time_varying,2,CNN
0.009797781054984312,0.006264247068933116,-22.031311214813197,141,8.896858619268748,gaussian,alpha_stable,0,CNN
0.009893030220688449,0.009758004879354023,-20.106389690163027,138,8.854842565045972,gaussian,alpha_stable,1,CNN
0.009256081620837634,0.006991068351458459,-21.55456451704433,140,9.143864166374575,gaussian,alpha_stable,2,CNN
0.008886343570269838,0.004645587327779461,-23.329593715469432,138,9.320904919998492,gaussian,burst,0,CNN
0.0103003810655806,0.00039255561629509514,-34.06098803700417,151,8.6796030039228,gaussian,burst,1,CNN
0.009160072684418555,0.012974150803559186,-18.869210583707012,138,9.189146724672542,gaussian,burst,2,CNN
0.017869912340783868,0.003122879664098661,-25.054447502528333,320,6.286911701428156,gaussian,chirp_interferer,0,CNN
0.012099622009121916,0.0012159949235904413,-29.150682377499322,320,7.980417890344501,gaussian,chirp_interferer,1,CNN
0.02015352448016467,0.0034385708210649675,-24.63622026341513,226,5.764625850413029,gaussian,chirp_interferer,2,CNN
0.047574162380591915,0.008529286723325286,-20.690872859065482,389,10.99931995767259,gaussian,regime_switch,0,CNN
0.006038196176449387,0.0007977214965148164,-30.981487041425044,138,7.124986776350768,gaussian,regime_switch,1,CNN
0.035892231030486325,0.00760000366329343,-21.19186198326836,151,12.16830650639533,gaussian,regime_switch,2,CNN
0.010421625825315329,0.007571863234238074,-21.207972389657467,139,8.628781159029623,colored,gaussian,0,CNN
0.01081606773007846,0.007082026880880862,-21.49842429084493,136,8.467441940938617,colored,gaussian,1,CNN
0.009981231645310683,0.00700580501794499,-21.54541953854556,135,8.816294573927353,colored,gaussian,2,CNN
0.011980468397587303,0.009916212968073957,-20.036541545241818,140,8.023397943551636,colored,colored,0,CNN
0.01174819828602816,0.007376824133902659,-21.32130570093437,136,8.108423243174753,colored,colored,1,CNN
0.010243776259609334,0.007573937047639621,-21.206783088721846,135,8.703535080279071,colored,colored,2,CNN
0.0112415628177739,0.007149090929604994,-21.457491790272037,140,8.299869005921424,colored,impulsive,0,CNN
0.011084106515881612,0.010014964397345998,-19.993505902175702,135,8.361129016407766,colored,impulsive,1,CNN
